A1	A2	A3	A4_a	A4_b	A5	A6	A7	A8_a	A8_b	A9	A9_a	A9_b	A9_c	A10	A10_a	A10_b	A10_c	B1	B2	B2_a	B3	B4	B5	B6	B7	B8	B9	B10	B11_a	B11_b	B12	B13	B14	B15	B16	B17	B18	B19	B20_a	B20_a_other	B20_b	B20_b_other	B20_c	B20_c_other	B21	B21_other	B22_a	B22_b	B22_c	B22_d	B22_e	B22_f	B23	B23_a	B24	B25	B26_a	B26_b	B27	B28	B28_other	B29_a	B29_b	B29_c	B29_d	B29_e	B29_f	B29_g	B29_h	B29_i	B30	B31	B32_a	B32_b	B32_c	B32_d	B33	B34	B35	B36	B37	B38	B39	B40	B41	B41_other	B42	B42_other	B43	B44_a	B44_b	B45	B46	C1	C2	C2_a	C3	C4	C5	C6_a	C6_b	C6_c	C6_d	C6_e	C7_1	C7_1_other	C7_2	C7_2_other	C7_a	C7_a_other	C7_b	C7_b_other	C8_a	C8_b	C8_c	C8_d	C8_e	C8_f	C8_g	C9	C11	C12	C12_other	D1	D2	D3	D3_other	D5	D6_1	D6_1_other	D6_2	D6_2_other	D7	D8	D9	D10	D11	D11_a	D11_b	D11_c	E1	E2	E3	E3_a	E4	E5	E6_1	E6_2	E6_3	E6_4	E6_5	E7	E7_1	E7_2	E7_3	E7_4	E7_5	E8	E8_other	E9	E9_other	E10_1	E10_2	E10_3	E10_4	E10_5	E11_1	E11_1_other	E11_2	E11_2_other	E11_3	E11_3_other	E12_1_	E12_1_other	E12_2	E12_2_other	E12_3	E12_3_other	E13_1	E13_1_other	E13_2	E13_2_oher	E13_3	E13_3_other	E14	E15	E16	E17	E18	E19	E20_other	E21	E22	F1	F1_other	F2	F2_a	F3	F4	F5	F6	F6_other	F7	F8	F8_other	F9	F10	F11_a	F11_b	F11_c	F11_d	F11_e	F11_f	F11_g	F11_h	F11_i	F11_j	F11_k	F11_l	F11_m	F11_n	F12_1	F12_1_other	F12_2	F12_2_other	F12_3	F12_3_other	F13	F13_other	F14	F14_other	F15	F16_a	F16_b	F16_c	F16_d	F16_e	F16_f	F16_g	F16_h	F16_i	F16_j	F16_k	F16_l	F17	F17_other	F18	F18_other	F19	F20_1	F20_1_other	F20_2	F20_2_other	F20_3	F20_3_other	F21	F22	G1	G1_other	G2	G3	G3_other	G4	G5	G5_other	G6	G7	G7_other	G8	G9_1	G9_2	G9_3	G10	G10_other	G11	G11_other	G12	G13	G13_other	H1_a	H1_b	H1_c	H1_d	H1_e	H1_f	H1_g	H1_h	H1_i	H1_j	H1_k	H1_l	H1_m	H4	H5	H6	H7_a	H7_b	H7_c	H7_d	H7_e	H7_f	H7_g	H7_h	H7_i	H8	H9_1	H9_2	H9_3	H10	H11	H12_a	H12_b	H12_c	H12_d	H12_e	H13	H14	H14_other	H15	H16	H17	QUES_NO	AREA	DATE	B35_1	B35_2	B35_3	B35_4	B35_5	C10_1	C10_2	C10_3	C13_a	C13_b	C13_c	C13_d	C13_e	C13_f	C13_g	D4_a	D4_b	D4_c	D4_d	D4_e	D10_a	D10_b	D10_c	D10_d	D10_e	D10_f	D10_g	D10_h	E20_a	E20_b	E20_c	E20_d	E20_e	E20_f	E20_g	A2_coded	G9_1_coded	G9_2_coded	G9_3_coded	H2_a	H2_b	H2_c	H2_d	H3_a	H3_b	H3_c	H3_d	A6_coded	Section	StartDate	EndDate	VoterID	VoterIP
"1971"	"ΑΛΒΑΝΙΑ"	3	1	" "	1	" "	2004	0	7	3	"ΓΑΣΤΟΥΡΙ"	"ΑΧΙΛΛΕΙΟΥ"	"ΚΕΡΚΥΡΑ"	3	"ΓΑΣΤΟΥΡΙ"	"ΑΧΙΛΛΕΙΟΥ"	"ΚΕΡΚΥΡΑ"	5	" "	" "	18								" "	" "										" "		" "		" "		" "							"ΦΥΛΑΞΗ Η��ΙΚΙ��ΜΕΝ��Ν"	"5163"	14	2	6	0	2	1	"ΘΑΝΑΤΟΣ ��ΛΙΚ��ΜΕΝ��Υ ΠΟΥ ΦΡ��ΝΤΙ��Α"	2	1	2	1	2	2	2	1	1	3	1					1	2	"ΚΑΘΑΡΙΣΤΡΙΑ"	"9132"	15	2	1	1	7	" "		" "	2	" "	" "			8	2		2	2	5	3	3	4	4	2	7	" "	2	" "		" "	3	" "	1	1	1	1	2	2	1	2			" "	2		1	" "	3	2	" "	4	" "	2		2	" "					1	2	2	" "	1	3	3	3	1				1	1	1			1	" "	7	"ΕΙΝΑΙ ΜΕ��ΑΛΑ"	1	2	2			1	" "	6	" "	5	" "	2	" "	3	" "	4	" "	3	" "		" "		" "	2	2	1	" "	2		" "	5	1	1	" "	3		5	2			" "			" "	2	45	1	1	2	1	2	1	2	2	2	2	2	2	2	2	4	" "	2	" "	1	" "	2	" "		" "	150	2	1	2	1	1	1	1	1	1	1	1	2	2	" "	2	" "	2	13	" "		" "		" "	3	2	1	" "	3	4	" "	1	6	" "	2		" "	2	" "	" "	" "		" "	1	" "	1	3	" "	2	2	3	3	3	3	2	2	3	3	3	3	2	4	2	2	2	2	2	2	2	2	2	2	2	2	1	2	10	3	4	3	3	3	2	2	2	2	" "	5	4	2	"137"	"13"	"06/06/2011"	1	3							1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1				1	0	0	0	1	0	0	0		0	"9/6/2011 3:06:18 μμ"	"9/6/2011 3:42:49 μμ"	485954	"79.131.15.7"
"1989"	"ΝΟΤΙΑ ΚΟ��ΕΑ"	3	3	" "	1	" "	2008	1	3	3	"ΠΗΓΑΔΙΑ"	"ΑΒΔΗΡΩΝ"	"ΞΑΝΘΗΣ"	1	"ΞΑΝΘΗ"	"ΞΑΝΘΗΣ"	"ΞΑΝΘΗΣ"	8	" "	" "	18								" "	" "										" "		" "		" "		" "							" "	" "							" "																		" "	" "						" "		" "	2	" "	" "			12	1	1	4	1		2	3	2	3	2	5	" "	3	" "	5	" "		" "	1	1	1	1	1	1	1	2			" "	2		1	" "	3	3	" "	5	" "	1	1	2	" "					5			" "	2														" "		" "							" "		" "		" "		" "		" "		" "		" "		" "		" "	4	4	6	" "	2		" "	5	8	1	" "	3		2	2			" "			" "	3	75	1	1	1	2	2	1	2	2	2	2	2	2	1	2	1	" "	6	" "	3	" "	2	" "		" "	140	2	2	2	1	1	1	1	1	2	2	2	2	2	" "	3	" "	3	13	" "		" "		" "	2	1	4	" "	1	3	" "	2		" "	2		" "	2	" "	" "	" "		" "	7	" "	2		" "	2	2	1	2	1	2	2	3	3	3	3	1	1	4	2	5	2	2	2	2	2	2	2	2	2	2	2			2	6	1	1	1	1	2	5	1	" "	2	2	4	"179"	"06"	"08/06/2011"									0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4				1	1	1	0	1	1	1	0		0	"10/6/2011 1:08:23 μμ"	"10/6/2011 2:48:57 μμ"	486075	"79.166.34.144"
"1988"	"ΝΟΤΙΑ ΚΟ��ΕΑ"	3	3	" "	1	" "	2008	2	3	3	"ΠΗΓΑΔΙΑ"	"ΑΒΔΗΡΩΝ"	"ΞΑΝΘΗΣ"	1	"ΞΑΝΘΗ"	"ΞΑΝΘΗΣ"	"ΞΑΝΘΗΣ"	8	" "	" "	18								" "	" "										" "		" "		" "		" "							" "	" "							" "																		" "	" "						" "		" "	2	" "	" "			12	2		2	1		2	2	2	2	2	5	" "	3	" "	5	" "		" "	1	1	1	1	1	2	2	2			" "	2		1	" "	2	6	" "		" "	1	1	2	" "					5			" "	2														" "		" "							" "		" "		" "		" "		" "		" "		" "		" "		" "	4	4	5	"ΜΟΥ ��ΤΜΠ��ΡΙΦ��ΡΕΤ��Ι ΑΣΧΗΜΑ ΚΑΙ ΑΠΟΤΟΜΑ"	2		" "	5	8	1	" "	3		2	2			" "			" "	2	55	1	1	2	1	2	1	2	2	2	2	2	2	1	2	1	" "	6	" "	3	" "	2	" "		" "	90	2	2	2	1	1	1	1	2	2	2	2	2	2	" "	3	" "	3	4	" "	12	" "		" "	3	1	4	" "	1	3	" "	1	4	" "	2		" "	2	" "	" "	" "		" "	2	" "	2		" "	2	2	2	2	3	2	2	3	3	3	3	1	1	4	2	5	2	2	2	2	2	2	2	2	2	2	2	3		2	6	1	1	1	1	1	5	1	" "	2	2	4	"177"	"06"	"08/06/2011"									0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4				1	1	0	0	1	1	0	0		0	"10/6/2011 2:48:58 μμ"	"10/6/2011 2:57:58 μμ"	486076	"79.166.34.144"
"1965"	"ΡΩΣΙΑ"	3	1	" "	1	" "	2001	2	10	3	"ΠΕΤΕΙΝΟΣ"	"ΑΒΔΗΡΩΝ"	"ΞΑΝΘΗΣ"	1	"ΞΑΝΘΗ"	"ΞΑΝΘΗ"	"ΞΑΝΘΗ"	7	" "	" "	18								" "	" "										" "		" "		" "		" "							" "	" "							" "																		" "	" "						" "	2	" "	1	"ΕΡΓΑΤΡΙΑ ΣΕ ΕΡΓΟΣΤΑΣΙΟ ΞΥ��ΕΙΑ��"	"9320"	4	1	15	2		5	2	5	1	1	2	3	1	7	" "	3	" "		" "	2	" "	1	1	1	1	1	2	2	5			" "	1	1		" "	2	6	" "		" "	2		1	" "		1	1	2	1	2	2	" "	1	1	2						1						" "		" "	1					8	" "		" "		" "	6	" "		" "		" "	3	" "		" "		" "	2	3	6	" "	2		" "	3	1	2	" "	5	3	3	2			" "			" "	2	85	1	1	1	2	2	1	2	2	2	1	2	2	2	2	7	" "		" "		" "	1	" "	2	" "		2	1	2	1	1	1	1	1	2	2	2	1	5	" "	3	" "	3	8	" "	8	" "		" "	1	1	1	" "	1	4	" "	2		" "	2		" "	2	" "	" "	" "		" "	4	" "	1	5	" "	1	2	1	2	2	3	1	1	3	3	3	2	1	2	1	5	2	2	2	2	2	2	2	2	2	2	2			3	4	1	1	1	2	4	5	2	" "	2	2	1	"969"	"06"	"03/06/2011"									0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2				1	0	1	0	1	0	1	0		0	"10/6/2011 8:29:07 μμ"	"10/6/2011 8:55:17 μμ"	486089	"79.166.34.144"
"1989"	"ΜΠΑΧΡΕΪΝ"	2	3	" "	1	" "	2009	4	2	3	"ΠΗΓΑΔΙΑ"	"ΑΒΔΗΡΩΝ"	"ΞΑΝΘΗΣ"	1	"ΞΑΝΘΗ"	"ΞΑΝΘΗΣ"	"ΞΑΝΘΗΣ"	4	"ΣΕΡΒΙΤΟΡΑ ΣΕ ΜΠΑΡ"	"5150"	8	2	10	3	12	3	1	2	" "	" "								3	1	" "	6	" "	5	" "	3	" "	2	2	2	2	2	2	" "	" "							" "										4	2	1	1	1	2	2		" "	" "			1	2		" "		" "	2	" "	" "			14	2		4	1		2	3	3	3	2	9	" "	3	" "		" "	8	" "	1	1	1	1	1	1	1	4			" "	2		1	" "	3	2	" "	5	" "	1	1	2	" "					5			" "	2														" "		" "							" "		" "		" "		" "		" "		" "		" "		" "		" "	4	4	6	" "	2		" "	4	8	1	" "	3		2	2			" "			" "	2	55	1	1	2	1	2	1	2	2	2	2	2	2	1	2	3	" "	6	" "	1	" "	2	" "		" "	140	2	2	2	1	1	1	1	2	2	2	2	2	2	" "	3	" "	3	4	" "	7	" "	12	" "	3	2	4	" "	1	3	" "	2		" "	2		" "	2	" "	" "	" "		" "	4	" "	2		" "	2	2	2	2	3	1	2	3	3	3	3	1	1	4	2	5	2	2	2	2	2	2	2	2	2	2	3	2	9	2	6	1	1	1	1	1	5	1	" "	2	2	4	"176"	"06"	"08/06/2011"									0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3				0	1	1	0	0	1	1	0		0	"10/6/2011 2:57:59 μμ"	"10/6/2011 3:12:49 μμ"	486077	"79.166.34.144"
"1988"	"ΦΙΛΙΠΠΙΝΕΣ"	4	4	" "	1	" "	2008	2	3	3	"ΠΗΓΑΔΙΑ"	"ΑΒΔΗΡΩΝ"	"ΞΑΝΘΗΣ"	1	"ΞΑΝΘΗ"	"ΞΑΝΘΗΣ"	"ΞΑΝΘΗΣ"	4	"ΣΕΡΒΙΤΟΡΑ ΣΕ ΜΠΑΡ"	"5150"	8	2	12	4	10	3	1	2	" "	" "								4	1	" "	4	" "	6	" "	3	" "	2	2	2	2	2	2	" "	" "							" "										4	7					2		" "	" "			1	3		" "		" "	2	" "	" "			12	2		4	1		2	2	2	3	2	3	" "	9	" "		" "	8	" "	1	1	1	1	1	2	2	4			" "	2		1	" "	2	6	" "		" "	2		2	" "					5			" "	2														" "		" "							" "		" "		" "		" "		" "		" "		" "		" "		" "	4	4	6	" "	2		" "	3	8	1	" "	3		0	2			" "			" "	3	75	1	1	1	2	2	1	2	2	2	2	2	2	1	2	7	" "		" "		" "	2	" "		" "	140	2	2	2	1	1	1	1	2	2	2	2	2	2	" "	3	" "	3	4	" "		" "		" "	2	1	4	" "	1	3	" "	2		" "	2		" "	2	" "	" "	" "		" "	7	" "	2		" "	2	1	1	1	3	2	2	3	3	3	3	1	1	4	2	5	2	2	2	2	2	2	2	2	2	2	2	3		1	6	1	1	1	2	4	5	1	" "	2	2	5	"178"	"06"	"08/06/2011"									0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4				1	1	1	0	1	1	1	0		0	"10/6/2011 4:05:54 μμ"	"10/6/2011 4:42:15 μμ"	486078	"79.166.34.144"
"1983"	"ΓΕΩΡΓΙΑ"	1	1	" "	1	" "	2005	0	6	1	"ΑΓ. ΑΝΑΡΓΥΡΟΙ"	"ΑΓ. ΑΝΑΡΓΥΡΟΙ"	"ΑΤΤΙΚΗ"	1	"ΑΓ. ΑΝΑΡΓΥΡΟΙ"	"ΑΓ. ΑΝΑΡΓΥΡΟΙ"	"ΑΤΤΙΚΗ"	1	"ΚΑΘΑΡΙΖΕΙ ΣΠ��ΤΙΑ"	"9131"	16	2	12	6	8	3	1	2	" "	" "								3	5	" "	6	" "	1	" "	2	" "	3	1	2	2	1	2	" "	" "							" "										3	7					2		" "	" "			1	1	1	" "		" "	2	" "	" "			16	2		6	2	5	3	3	3	3	3	2	" "	1	" "		" "	3	" "	1	1	1	1	2	1	1	2			" "	2		1	" "	6	8	" "		" "	2		2	" "					1	1	2	" "	2														" "		" "							" "		" "		" "		" "		" "		" "		" "		" "		" "	2	2	3	"ΟΧΙ"	1	4	" "	4	8	2	" "	3		2	2			" "			" "	2	30	1	1	1	2	2	1	2	2	2	1	2	2	2	2	1	" "	2	" "	4	" "	2	" "		" "	200	2	1	2	1	1	1	1	1	2	2	2	2	4	" "	2	" "	2	13	" "		" "		" "	3	3	5	" "	1	1	" "	1	7	" "	2		" "	2	" "	" "	" "		" "	2	" "	1	6	"ΝΑ Π��ΕΙ ΣΕ ΑΛ��Η ΧΩΡΑ"	1	1	2	2	3	1	3	3	2	3	3	3	1	4	3	5	2	2	2	2	2	2	2	2	2	2	1	3	4	1	1	3	3	3	2	1	2	1	" "	5	4	5	"508"	"51"	"02/06/2011"									0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2				1	0	0	0	1	0	0	0		0	"6/6/2011 2:58:18 μμ"	"6/6/2011 4:20:45 μμ"	485523	"79.131.15.7"
"1972"	"ΑΙΓΥΠΤΟΣ"	1	3	" "	1	" "	1996	0	15	1	"ΑΓ. ΔΗΜΗΤΡΙΟΣ"	"ΑΓ. ΔΗΜΗΤΡΙΟΥ"	"ΑΤΤΙΚΗΣ"	1	"ΑΓ. ΔΗΜΗΤΡΙΟΣ"	"ΑΓ. ΔΗΜΗΤΡΙΟΥ"	"ΑΤΤΙΚΗΣ"	2	"ΚΑΘΑΡΙΖΩ ΣΠΙ��ΙΑ"	"9131"	16	2	12	7	4	3	5	2	" "	" "								4	7	"ΛΙΓΕΣ ΜΕ��ΕΣ ΔΟΥΛΕΙΑΣ"	1	" "		" "	3	" "	5	5	5	5	5	5	" "	" "							" "										3	2	1	1	1	1	1	4	"ΝΥΧΙΑ-ΑΠ��ΤΡΙ��ΩΣΗ"	"5170"	15	2	1	3		" "		" "	2	" "	" "			16	2		6	2	7	1	2	4	4	1	7	" "	3	" "		" "	5	" "	1	1	1	1	1	1	1	2			" "	2		1	" "	5	5	" "		" "	2		2	" "					1	1	2	" "	1	1	3						1						" "		" "	1					8	" "		" "		" "	6	" "		" "		" "	5	" "		" "		" "	2	2	6	" "	2		" "	5	1	1	" "	5	1	3	2			" "			" "	3	65	1	1	1	2	2	1	2	2	2	2	1	2	1	2	7	" "		" "		" "	2	" "		" "	400	1	2	1	1	1	1	1	1	2	1	1	1	5	" "	7	"ΑΠΟ ��Ο ΙΝΤΕΡΝΕΤ"	1	13	" "		" "		" "	1	1	1	" "	3	2	" "	2		" "	2		" "	2	" "	" "	" "		" "	4	" "	1	5	" "	1	2	3	3	3	3	3	3	3	3	3	3	1	4	1	6	2	1	2	2	2	2	2	2	2	2	4			3	1	4	4	1	1	1	5	4	" "	5	4	1	"591"	"60"	"05/06/2011"	12	9	10						1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3				0	0	1	0	1	0	0	0		0	"7/6/2011 12:52:39 μμ"	"7/6/2011 1:17:15 μμ"	485638	"79.131.15.7"
"1975"	"ΑΛΒΑΝΙΑ"	1	6	"ΧΡΙΣΤΙΑΝΗ-ΜΑ��ΤΥΡ��Σ Τ"	3	"ΕΠΕΙΔΗ Μ��Υ ΑΡΕΣΕ ��ΙΝΑ�� Η Α��ΗΘΕ��Α"	1999	0	12	1	"ΑΓ. ΔΗΜΗΤΡΙΟΣ"	"ΑΓ. ΔΗΜΗΤΡΙΟΥ"	"ΑΤΤΙΚΗΣ"	1	"ΝΕΑ ��ΜΥΡ��Η"	"ΝΕΑΣ ΣΜΥ��ΝΗΣ"	"ΑΤΤΙΚΗΣ"	1	"ΟΙΚΙΑΚΗ ��ΟΗΘ��Σ"	"9131"	16	1	12	6	8	3	3	2	" "	" "								3	5	" "		" "		" "	2	" "	1	1	1	1	1	1	" "	" "							" "										4	4					2		" "	" "			1	2		" "		" "	2	" "	" "			12	2		3	2	3	2	2	2	5	1	4	" "	1	" "		" "	2	" "	1	1	1	1	1	1	1	2			" "	2		1	" "	1	9	" "		" "	1	1	2	" "					2	1		" "	2														" "		" "							" "		" "		" "		" "		" "		" "		" "		" "		" "	1	1	6	" "	1	4	" "	4	1	1	" "	5	1	1	2			" "			" "	2	75	1	1	1	2	2	1	2	2	2	2	2	1	2	2	4	" "		" "		" "	2	" "		" "	150	2	2	2	1	1	1	1	1	2	2	2	2	4	" "	2	" "	2	13	" "		" "		" "	1	1	5	" "	3	1	" "	2		" "	2		" "	2	" "	" "	" "		" "	5	" "	1	3	" "	2	2	3	3	3	3	3	3	3	3	3	3	1	4	3	4	2	2	2	2	2	2	2	1	2	4	3			1	1	2	3	2	2	2	3	2	" "	2	2	1	"594"	"60"	"05/06/2011"									1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1				1	0	1	0	1	0	0	0	3	0	"7/6/2011 10:48:40 πμ"	"7/6/2011 11:12:30 πμ"	485592	"79.131.15.7"
"1988"	"ΑΛΒΑΝΙΑ"	3	1	" "	2	"ΝΑΙ ��ΟΓΩ ΡΑΤΣΙΣΜΟΥ"	1993	0	18	1	"ΑΓ.Α��ΑΡΓ��ΡΟΙ"	"ΑΓ.Α��ΑΡΓ��ΡΟΙ"	"ΑΤΤΙΚΗΣ"	1	"Ν.ΧΑ��ΚΗΔ��ΝΑ"	"Ν.ΧΑ��ΚΗΔ��ΝΑ"	"ΑΤΤΙΚΗΣ"	4	"ΠΩΛΗΤΡΙΑ"	"5320"	7	1	12	5	4	1		2	" "	" "								3	2	" "	3	" "		" "	12	" "	1	1	1	1	1	2	" "	" "							" "										6	6					2		" "	" "			1	1	1	" "		" "	2	" "	" "			16	1	16	4	1		1	1	1	1	1	2	" "		" "		" "	5	" "	2	2	2	2	2	2	2	5			" "	1	1		" "	3	3	" "	5	" "	2		2	" "					5			" "	2														" "		" "							" "		" "		" "		" "		" "		" "		" "		" "		" "	2	4	6	" "	2		" "	3	7	1	" "	3		3	2			" "			" "	4	90	1	1	1	2	2	1	1	2	2	1	1	2	2	2	8	"ΠΟΛΥ ΥΨΗ��Ο ΤΟ ΕΝΟ��ΚΙΟ"		" "		" "	2	" "		" "	450	2	2	1	1	1	1	1	1	2	1	1	2	4	" "	2	" "	1	12	" "		" "		" "	3	3	1	" "	4		" "	1	6	" "	2		" "	1	"ΚΛΟΠΗ ΣΠ��ΤΙΟ��"	" "	" "	2	" "	1	" "	1	3	" "	2	3	2	2	1	2	3	3	1	2	1	2	2	2	3	4	2	2	2	2	2	2	2	2	2	2	2	6	8	2	1	2	3	2	3	4	2	3	" "	5	2	5	"507"	"51"	"02-06-2011"									0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2			0	0	1	0	0	0	1	0	4	0	"7/6/2011 10:46:11 πμ"	"7/6/2011 11:12:28 πμ"	485591	"79.131.15.7"
